siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
305376857,00051,30537685700051,O,1976-04-01,,,,2019-11-14T14:00:53,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT DE SATOLAS,69124,COLOMBIER-SAUGNIEU,,,69299,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00077,30537685700077,O,1982-01-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,LD,AERODROME,59810,LESQUIN,,,59343,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00085,30537685700085,O,1976-04-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,AEROPORT NANTES ATLANTIQUE,,,RUE,CLEMENT ADER,44340,BOUGUENAIS,,,44020,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
305376857,00093,30537685700093,O,1976-04-01,NN,,,2010-04-18T03:27:37,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,BAT FRED SUD AEROPORT,,,AV,PRESIDENT J F KENNEDY,33700,MERIGNAC,,,33281,,,,,,,,,,,,,,,,,,,F,,,,,52.29A,NAFRev2,O
305376857,00101,30537685700101,O,1982-01-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT,31700,BLAGNAC,,,31069,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00119,30537685700119,O,1976-04-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT,06200,NICE,,,06088,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
305376857,00127,30537685700127,O,1981-02-16,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,VC AEROPORT NANCY ESSEY,54510,TOMBLAINE,,,54526,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
305376857,00135,30537685700135,O,1982-01-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT BELFORT FONTAINE,90150,FONTAINE,,,90047,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00143,30537685700143,O,1976-04-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,ZI COUPERIGNE,,,,AEROPORT MARSEILLE PROVENCE,13700,MARIGNANE,,,13054,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
305376857,00150,30537685700150,O,1976-04-01,,,,2019-11-14T14:00:34,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT JOSEPH LE BRIX,35136,SAINT-JACQUES-DE-LA-LANDE,,,35281,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00168,30537685700168,O,1981-11-02,,,,2006-11-25T09:19:07,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT CHAMBERY/AIX,73420,VOGLANS,,,73329,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00176,30537685700176,O,1976-04-01,00,2018,,2020-08-25T10:23:10,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,ZONE DE FRET NORD BAT 310,,,,AEROGARE DE FRET,94310,ORLY,,,94054,,,,,,,,,,,,,,,,,,,F,,,,,52.29A,NAFRev2,O
305376857,00200,30537685700200,O,1984-12-31,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT MTPELLIER MEDITERRANEE,34130,MAUGUIO,,,34154,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00218,30537685700218,O,1985-07-18,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,3,,IMP,EDOUARD BELIN,21300,CHENOVE,,,21166,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00226,30537685700226,O,1984-11-01,00,2018,,2020-08-25T10:23:10,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT,29490,GUIPAVAS,,,29075,,,,,,,,,,,,,,,,,,,F,,,,,52.29A,NAFRev2,O
305376857,00234,30537685700234,O,1984-10-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,76,,CHE,DES VIGNES,66000,PERPIGNAN,,,66136,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00242,30537685700242,O,1987-12-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT CLERMONT AULNAT,63510,AULNAT,,,63019,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,O
305376857,00259,30537685700259,O,1987-02-01,NN,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,17,,RUE,LOUIS APPERT,28200,CHATEAUDUN,,,28088,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00267,30537685700267,O,1986-09-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,1,B,RUE,LAVOISIER,45140,INGRE,,,45169,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
305376857,00275,30537685700275,O,1987-12-01,,,,null,false,C,O,,1976-04-01,5710,FEDEX EXPRESS FRANCE,,,,,,,,,,,,,,52.29A,NAFRev2,,,O,00,2018,01398,2020-08-25T10:23:11,,,,,,,AEROPORT DE PAU,64230,UZEIN,,,64549,,,,,,,,,,,,,,,,,,,F,,,,,63.4C,NAF1993,N
