NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
575504.0,52758.399999999994,1009991.0,3084.3,209758.3,11512.4,66480.8,7433.1,9972.9,9052.8,6099.6,2014,F 
801453.0,84148.8,1689181.0,97024.6,876404.7000000001,25733.1,120770.1,15854.3,21441.5,21017.6,10326.2,2014,G 
105713.0,20066.7,422994.0,10285.3,78721.20000000001,4985.799999999999,25725.3,2403.1,4211.6,2688.3,5908.0,2014,H 
272887.0,23068.2,610318.0,631.5,68534.5,3051.9,27507.300000000003,2669.7,3365.494444444445,-365.0999999999999,4716.364444444444,2014,I 
152165.0,22296.9,294095.0,10420.1,70634.9,8137.0,31003.100000000002,1645.0,7816.8,3056.0,2409.8,2014,J 
133309.0,16239.9,156619.0,4249.4,46463.8,3351.5,21073.8,60071.5,66745.7,56334.8,4237.2,2014,K 
209453.0,7829.700000000001,146816.0,613.0,55663.5,17411.9,29037.5,10292.1,14839.099999999999,6393.1,25691.7,2014,L 
515537.0,52798.7,677866.0,17297.199999999997,145628.59999999998,15383.300000000001,69011.20000000001,21450.3,31489.600000000002,26600.2,5406.299999999999,2014,M 
222939.0,30053.600000000002,498036.0,10071.599999999999,92729.5,11226.2,42406.1,4506.7,11232.4,5015.2,13545.5,2014,N 
158586.0,4822.9,91063.0,685.9000000000001,13074.0,1264.0,6170.3,826.6999999999999,1090.8,937.9,463.90000000000003,2014,P 
450283.0,24789.7,354166.0,144.2,75385.7,26375.100000000002,53782.7,24563.2,25705.8,25129.2,1266.5,2014,Q 
224251.0,5086.1,82892.0,653.9,15826.5,1771.8,6809.200000000001,366.70000000000005,1547.3,312.7,1153.7,2014,R 
270184.0,7177.8,187363.0,392.59999999999997,19029.300000000003,1867.8999999999999,9292.3,1170.0,197.0,1203.9,250.10000000000002,2014,S 
