annee,NbEntrp,Activite,SecteurDActivite,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports
2014,515894.0,"Activités spécialisées, scientifiques et techniques ",M ,71424.2,920108.0,28481.0,187167.7,16044.1,89334.3,36405.4,47458.0,39734.4,6429.9
2014,223358.0,Activités de services administratifs et de soutien ,N ,56810.0,902531.0,11673.8,140121.2,14960.3,74417.2,6484.5,16191.0,7365.9,17746.5
2014,158623.0,Enseignement ,P ,5130.1,100333.0,697.0,13672.2,1275.9,6474.7,801.0,1105.6,925.4,481.9
2014,450493.0,Santé humaine et action sociale ,Q ,29542.8,479837.0,215.8,84952.8,26675.7,59222.6,24947.3,25855.5,25596.0,1703.3
2014,224270.0,"Arts, spectacles et activités récréatives ",R ,6498.5,106618.0,847.2,33926.6,3102.8,10753.0,1103.1,2833.5,1275.9,1407.6
2014,270225.0,Autres activités de services ,S ,8445.3,214555.0,542.9,22809.2,2255.8,11029.2,1248.4,2050.4,1374.3,1152.5
2015,5240.0,Exploitation forestière ,A ,261.4,5259.0,193.2,1723.4,138.5,409.2,78.4,129.5,63.3,134.2
2015,2095.0,Industries extractives ,B ,1223.1,17993.0,742.6,6123.9,589.9,2008.7,526.1,1709.9,712.2,462.2
2015,213303.0,Industrie manufacturière ,C ,155074.2,2623378.0,326931.1,862822.0,53067.8,223324.9,35874.6,53125.6,47910.3,30031.6
2015,27062.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,14103.0,168729.0,18854.7,110123.2,16460.0,28747.8,1491.1,16358.4,2977.8,17255.3
2015,12299.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7724.8,148600.0,2720.9,37039.4,2764.5,11387.1,526.7,2639.4,861.3,4212.2
2015,494099.0,Construction ,F ,69411.5,1292407.0,6160.7,274126.3,13044.0,85639.4,8397.3,11242.7,10586.6,6563.9
2015,717265.0,Commerce - réparation d'automobiles et de motocycles ,G ,131625.8,2621826.0,140591.3,1411255.1,40796.2,208809.8,24344.7,35036.4,34226.6,18328.3
2015,106298.0,Transports et entreposage ,H ,61793.9,1132972.0,50473.1,210235.5,21391.1,86862.3,13708.396564102564,15795.1,9328.3,23035.2
2015,264793.0,Hébergement et restauration ,I ,29957.0,791561.0,1327.1,93042.1,7713.4,39511.7,2805.8,6570.5,2671.4,7264.1
2015,129025.0,Information et communication ,J ,54659.6,691988.0,27013.7,180170.3,25606.3,83929.6,7445.3,23257.5,14819.1,9266.0
2015,141134.0,Activités auxiliaires de services financiers et d'assurance ,K ,20819.9,205077.0,6904.9,61877.6,5331.3,28125.9,72731.7,87569.6,68378.7,4845.1
2015,244367.0,Activités immobilières ,L ,11414.1,196497.0,649.9,79374.1,27615.4,45224.7,13889.1,22671.8,10441.2,38417.5
2015,463476.0,"Activités spécialisées, scientifiques et techniques ",M ,75909.8,950642.0,40102.6,206306.5,17856.5,95665.5,55777.4,68841.4,55240.5,6539.4
2015,195621.0,Activités de services administratifs et de soutien ,N ,58487.5,922968.0,13299.1,147238.2,15732.2,76819.3,6890.4,15766.5,14564.1,19330.5
2015,135479.0,Enseignement ,P ,5684.1,110621.0,543.6,13395.9,1003.1,6612.5,-707.2,-26.8,-184.6,599.6
2015,455156.0,Santé humaine et action sociale ,Q ,30255.9,495281.0,172.3,87346.3,27573.1,60845.8,25766.8,26837.9,26428.2,1790.4
2015,211253.0,"Arts, spectacles et activités récréatives ",R ,6603.2,108098.0,920.7,34888.4,3147.8,10862.8,1784.8,2763.6,1858.0,1813.1
2015,218644.0,Autres activités de services ,S ,8333.2,213571.0,592.8,22906.5,2150.7,10798.0,1330.2,1963.7,1554.9,1109.3
2016,5135.0,Exploitation forestière ,A ,280.7,5674.0,217.4,1788.3,99.7,391.4,89.3,96.3,59.3,130.7
2016,1675.0,Industries extractives ,B ,1247.3,16984.0,1024.0,6336.2,217.1,1646.9,13708.396564102564,-73.9,-549.6,572.0
2016,216045.0,Industrie manufacturière ,C ,154655.9,2559504.0,378864.2,908468.3,59037.2,228914.7,43902.4,61805.4,50810.7,30981.5
2016,29686.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,14074.8,165666.0,17914.1,109832.3,16165.5,28469.0,8235.6,15671.2,6009.8,18527.0
2016,13532.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7769.6,151190.0,3068.3,36950.2,3283.2,11911.6,1144.7,3075.7,1125.9,4807.5
2016,507095.0,Construction ,F ,69886.7,1276117.0,5544.2,276532.4,13465.1,86467.3,11477.0,14152.7,13917.9,7464.3
2016,760010.0,Commerce - réparation d'automobiles et de motocycles ,G ,134471.8,2649899.0,140936.9,1420579.1,44364.9,216420.2,27199.7,37679.2,37772.1,20395.3
2016,115627.0,Transports et entreposage ,H ,63469.5,1197601.0,39971.1,206789.3,21321.2,89046.2,8339.7,15333.4,10508.9,22181.8
2016,270760.0,Hébergement et restauration ,I ,31254.1,829080.0,1995.0,96043.4,7220.9,40248.6,2152.0,6084.5,2009.0,8099.2
