id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1
4276.0,cpam de l'isere,924.0,2018.0,360.932,421.475,2927.126,Oui,4276.0,779639103,
3940.0,macif mutualite,1617.0,2018.0,252.0,71314.0,7264.0,Oui,3940.0,779558501,159.0
4084.0,institut laue langevin,511.0,2018.0,61.04,2379.5,0.0,Oui,4084.0,779555887,
3225.0,eovi services et soins,2273.0,2016.0,2427.0,149.0,568.0,Oui,3225.0,779471986,
3569.0,la boite a outils,1508.0,2018.0,2043.0,570.0,77620.0,Oui,3569.0,779463223,263.0
6109.0,centre jean perrin,802.0,2020.0,1022.1,401.0,231.0,Oui,6109.0,779213867,-925.9
4449.0,federation du credit mutuel centre est europe,5922.0,2018.0,2908.0,1033.0,3397.0,Oui,4449.0,778846873,
5894.0,paul hartmann sas,892.0,2020.0,2006.052,1756.105,0.0,Oui,5894.0,778740001,404.70399999999995
4645.0,carsat bourgogne franche-comte,839.0,2018.0,291.201,113.917,3566.834,Oui,4645.0,778213322,-434.799
2663.0,centre georges francois leclerc,781.0,2017.0,159.0,897.0,99.0,Oui,2663.0,778204271,
4231.0,societe cooperative a forme anonyme a capital variable,1241.0,2018.0,109.0,285.0,746.0,Oui,4231.0,778147454,
7162.0,hopital prive jean mermoz,536.0,2019.0,555.6447,1475.35,0.0,Oui,7162.0,778137877,
6013.0,stelia aerospace s.a.s,4000.0,2018.0,13334.0,3265.0,0.0,Oui,6013.0,778127613,-1097.0
580.0,bois et materiaux sud-ouest,1446.0,2014.0,,,,Oui,580.0,778115824,
6934.0,cpam du morbihan,666.0,2019.0,198.186,66.657,2283.69,Oui,6934.0,777907684,
6856.0,credit agricole du morbihan,1071.0,2018.0,934.0,181.0,8307.0,Oui,6856.0,777903816,
2302.0,mutualite francaise du finistere morbihan,3000.0,2015.0,1311.5,187.72,343.84,Oui,2302.0,777863820,
4625.0,caisse d'allocations familiales d'ille-et-vilaine,513.0,2018.0,180.118,52.0,1015.358,Oui,4625.0,777749375,
4445.0,caisse primaire d'assurance maladie d'ille et vilaine,853.0,2018.0,362.835,105.918,2556.831,Oui,4445.0,777749342,22.087999999999965
4379.0,carsat de bretagne,797.0,2018.0,153.857,312.869,2610.317,Oui,4379.0,777749326,
4088.0,caisse regionale de credit agricole des cotes d'armor,1219.0,2018.0,857.0,216.0,8633.0,Oui,4088.0,777456179,
5371.0,hillrom,492.0,2019.0,2839.0,175.0,21260.0,Oui,5371.0,777346412,1763.0
5645.0,asturienne,512.0,2019.0,2873.0,53.0,774.0,Oui,5645.0,777346099,
2782.0,credit agricole pyrenees gascogne,1724.0,2016.0,964.0,793.0,12688.0,Oui,2782.0,776986546,
5285.0,caf de la haute-garonne,700.0,2018.0,155.0,74.0,0.0,Oui,5285.0,776950446,-28.0
3865.0,cpam de la haute-garonne,1103.0,2018.0,557.489,222.589,3265.467,Oui,3865.0,776950404,
4132.0,carsat midi-pyrenees,773.0,2018.0,115.0,474.09,2656.24,Oui,4132.0,776950396,
